Year,Team,Acquired_Count,Relinquished_Count
2022,Pacers,0.0,50.0
2022,Pelicans,32.0,0.0
2022,Pistons,0.0,42.0
2022,Raptors,0.0,56.0
2022,Rockets,42.0,0.0
2022,Spurs,67.0,0.0
2022,Suns,21.0,0.0
2022,Thunder,0.0,49.0
2022,Timberwolves,40.0,0.0
2022,Warriors,67.0,0.0
2022,Wizards,0.0,47.0
