Yr,Tm,FG%,3P%,2P%,Age,ORtg,DRtg,NRtg,Pace,3PAr,TS%,eFG%,TOV%,ORB%,eFG%,TOV%,DRB%,Championship
2017,Oklahoma City Thunder,0.442,0.311,0.5,25.3,105.7,114.4,-8.7,98.6,0.309,0.525,0.49,11.4,26,0.513,13.1,74.8,N
2017,Milwaukee Bucks,0.446,0.415,0.457,25,103,103.7,-0.7,90.5,0.277,0.533,0.503,13.2,19.1,0.494,14.4,80.6,N
2017,Memphis Grizzlies,0.449,0.386,0.478,29.7,110.3,119.8,-9.5,85.8,0.313,0.559,0.51,11.6,20.3,0.545,11.4,73.9,N
2017,Los Angeles Clippers,0.473,0.348,0.528,30.9,108.8,110,-1.2,89.8,0.304,0.558,0.526,12.2,19.9,0.542,12.4,82.1,N
2017,Indiana Pacers,0.466,0.391,0.502,26.4,114.7,118.9,-4.2,94.8,0.33,0.564,0.53,12.1,28.3,0.565,11.9,75.2,N
2017,Houston Rockets,0.439,0.333,0.525,28.1,110.7,109.5,1.2,96.4,0.452,0.559,0.514,12.7,22.7,0.502,11.1,71.7,N
2017,Golden State Warriors,0.494,0.386,0.559,28.3,119,105.5,13.5,100.3,0.378,0.608,0.567,12.2,22.4,0.487,12.3,76.6,Y
2017,Cleveland Cavaliers,0.493,0.42,0.544,29.3,120.3,112.1,8.2,96.6,0.408,0.614,0.579,12.1,23.6,0.521,11.9,76.1,N
2017,Chicago Bulls,0.44,0.298,0.497,26.6,104.8,112.2,-7.4,92.1,0.285,0.529,0.483,14.4,29.6,0.534,11.8,78.5,N
2017,Boston Celtics,0.457,0.369,0.517,25.9,111.4,114.5,-3.1,93.9,0.41,0.566,0.532,12.6,22.2,0.531,13.1,71.5,N
2017,Atlanta Hawks,0.444,0.305,0.51,27.2,107.3,108.5,-1.2,98.4,0.323,0.542,0.493,14.1,26.4,0.502,11.8,77.3,N
2016,Atlanta Hawks,0.432,0.333,0.491,28.3,103.5,104.5,-1,95.7,0.375,0.533,0.494,13.3,20.7,0.487,12.7,75,N
2016,Boston Celtics,0.384,0.275,0.443,25,93.8,100.5,-6.7,98.3,0.352,0.475,0.432,12.9,21.5,0.481,13.3,80.6,N
2016,Charlotte Hornets,0.396,0.308,0.423,26.9,99.2,109,-9.8,91,0.231,0.494,0.432,9.4,15.9,0.517,11.8,75.9,N
2016,Cleveland Cavaliers,0.469,0.406,0.506,28,115.5,106,9.5,90.7,0.37,0.573,0.544,12,26.8,0.51,12.8,79,Y
2016,Dallas Mavericks,0.436,0.29,0.488,30.4,102.1,122,-19.9,91.8,0.264,0.511,0.474,11.4,21.5,0.537,12,65.5,N
2016,Detroit Pistons,0.478,0.376,0.524,24.1,109.4,119.2,-9.8,86.8,0.309,0.559,0.537,11,18.4,0.546,8.6,75.5,N
2016,Golden State Warriors,0.455,0.393,0.492,27.4,110.5,106.1,4.4,97,0.379,0.562,0.529,12.7,23.9,0.481,13.1,72.4,N
2016,Houston Rockets,0.386,0.268,0.444,28.5,92.7,111.8,-19.1,98.4,0.332,0.467,0.43,16.3,29.9,0.552,12.9,77.1,N
2016,Indiana Pacers,0.441,0.383,0.464,26.4,105.5,103.9,1.6,88.8,0.284,0.549,0.495,14.5,23.5,0.437,12.8,67.2,N
2016,Los Angeles Clippers,0.437,0.291,0.481,29.3,104.9,103.9,1,93.7,0.229,0.502,0.471,9,23.5,0.467,12,71.3,N
2016,Memphis Grizzlies,0.394,0.297,0.418,30.8,90.9,115.6,-24.7,89.1,0.197,0.455,0.423,14.8,28.8,0.552,13.7,77.3,N
2016,Miami Heat,0.458,0.358,0.489,28.7,105.1,101.7,3.4,90.2,0.238,0.539,0.5,12.8,23,0.451,10.4,80.5,N
2016,Oklahoma City Thunder,0.452,0.333,0.502,25.6,111.8,106.2,5.6,95.2,0.295,0.551,0.501,12.6,29.6,0.499,11.5,78.7,N
2016,Portland Trail Blazers,0.416,0.381,0.436,24.8,108.1,110.7,-2.6,96.2,0.351,0.523,0.483,11.5,26.6,0.507,10.1,75.5,N
2016,San Antonio Spurs,0.469,0.429,0.481,30.7,111,101.1,9.9,91.9,0.232,0.557,0.519,11.2,20.3,0.467,14.2,71.7,N
2016,Toronto Raptors,0.421,0.298,0.469,26.1,102.8,107.5,-4.7,89.4,0.282,0.507,0.463,12.4,25.1,0.514,13.6,77.3,N
2015,Atlanta Hawks,0.431,0.317,0.488,27.7,103.4,103.6,-0.2,93.5,0.335,0.521,0.484,11.9,21.6,0.486,12.9,74.7,N
2015,Boston Celtics,0.42,0.256,0.478,24.6,101.5,111.5,-10,93.3,0.26,0.504,0.453,12.6,22.2,0.498,11.8,71.9,N
2015,Brooklyn Nets,0.435,0.354,0.468,28.6,100.8,106.5,-5.7,94,0.289,0.522,0.486,13.4,21,0.505,12.3,77.8,N
2015,Chicago Bulls,0.419,0.373,0.438,28.7,104.4,100.7,3.7,90.4,0.294,0.515,0.474,13.1,26.8,0.452,11.8,74.3,N
2015,Cleveland Cavaliers,0.42,0.34,0.462,26.6,107.4,103.1,4.3,90.7,0.347,0.524,0.479,12,28.1,0.467,11.1,77.5,N
2015,Dallas Mavericks,0.452,0.311,0.503,30.4,107.9,112,-4.1,101.9,0.265,0.534,0.493,12.1,28.1,0.52,12.4,75.1,N
2015,Golden State Warriors,0.453,0.374,0.498,26.4,108.7,100.5,8.2,93.7,0.362,0.55,0.521,13.5,26.2,0.458,13.1,75.3,Y
2015,Houston Rockets,0.448,0.344,0.499,28.8,106.6,109,-2.4,101.5,0.33,0.544,0.505,13.5,23.8,0.514,12.5,74.4,N
2015,Los Angeles Clippers,0.466,0.329,0.525,28.8,108.4,107.1,1.3,98.7,0.3,0.548,0.515,11.8,21.3,0.505,12.5,75,N
2015,Memphis Grizzlies,0.425,0.312,0.447,30.3,103,104.4,-1.4,91.9,0.166,0.503,0.451,10.5,23.7,0.501,14.1,77.2,N
2015,Milwaukee Bucks,0.388,0.303,0.41,24.8,91.8,104.6,-12.8,93.1,0.206,0.455,0.419,11.9,23.9,0.504,15.7,73.5,N
2015,New Orleans Pelicans,0.451,0.318,0.496,25.1,106.8,115.2,-8.4,92,0.252,0.536,0.491,12.6,24.9,0.516,11,69.1,N
2015,Portland Trail Blazers,0.4,0.351,0.422,25.9,101.9,109.3,-7.4,92,0.313,0.504,0.455,11.1,22.2,0.465,7.9,78.1,N
2015,San Antonio Spurs,0.449,0.366,0.486,30.3,107.8,107.3,0.5,94.5,0.307,0.536,0.505,11.2,24.8,0.509,11.5,78.6,N
2015,Toronto Raptors,0.416,0.3,0.462,25.9,99.3,113.7,-14.4,94.5,0.283,0.493,0.459,10.9,19,0.547,13.3,73,N
2015,Washington Wizards,0.441,0.403,0.456,27.5,105.8,101.7,4.1,94.6,0.276,0.533,0.497,13.3,26.8,0.47,12.2,77.2,N
